Customer ID,Gender,Age,Annual Income (k$),Spending Score,Purchase Date,Product Category,Product Price ($),Payment Method
dc47e642-6c20-410f-a86e-352db5a965bd,Male,47,93.29,79,2023-10-31,Clothing,428.38,Paypal
3aa2ad93-0fdd-496e-80f8-ff906e0074d0,Male,64,27.1,57,2024-09-09,Sports,378.6,Paypal
cf2a6768-7068-4bc5-a99b-7398aa9993d2,Female,51,38.19,93,2023-05-04,Clothing,201.9,Debit Card
80b460e9-ac23-4b55-9d85-8b5048710063,Female,27,41.44,71,2022-05-21,Groceries,111.84,Paypal
358932bc-cd76-49dd-b004-572535c6b324,Female,19,36.64,87,2020-07-03,Electronics,128.42,Bank Transfer
5b7c69c5-2911-4fd3-9ed3-55b8adb1df56,Female,28,117.24,66,2021-07-16,Home & Kitchen,169.46,Paypal
3f367f5e-8154-4a84-86a5-e92f75795863,Male,28,61.28,96,2020-02-09,Books,481.09,Debit Card
31f40591-e90a-4ec3-a965-de30180dbdab,Male,28,36.92,48,2021-06-15,Groceries,206.61,Credit Card
2edc8d7c-416f-4a21-a69c-289ed3732115,Female,42,104.87,67,2022-10-04,Home & Kitchen,479.87,Bank Transfer
2737c02e-964c-4ca4-af48-89a0beaa4e12,Female,66,26.54,64,2020-09-21,Groceries,240.52,Paypal
b8d3fe6d-e993-4971-a57b-0ac20cc70525,Female,55,66.33,49,2023-01-24,Groceries,23.6,Credit Card
4382fadc-c953-45d6-8879-585a7379cd77,Male,40,48.29,56,2023-07-13,Beauty,76.37,Paypal
25568984-8ed7-4050-b087-2c9096c1d6b7,Female,66,70.76,82,2021-02-16,Groceries,144.68,Credit Card
1b230ce9-71f2-412a-88ed-c8b822cf5c99,Female,41,93.33,10,2020-04-20,Home & Kitchen,318.38,Paypal
440cf714-b943-4684-986a-e79a45660839,Male,22,35.28,86,2021-01-02,Electronics,56.75,Bank Transfer
6daa7751-f2b8-4b5b-a3d1-b6311c4eec15,Male,61,115.83,14,2023-09-22,Home & Kitchen,70.96,Paypal
ee6bb713-3b6b-458d-8343-045c5027e8cc,Female,35,147.66,58,2020-05-03,Books,296.15,Paypal
68dd3d67-e39d-4e2a-838d-d8291a01df6d,Male,22,107.64,91,2022-06-26,Electronics,114.03,Credit Card
39de8849-0086-4d75-bcb7-175fb39f89af,Male,59,41.4,72,2020-04-05,Groceries,111.03,Paypal
9864b01c-6ca7-4863-aad6-7c2755417797,Male,32,79.17,63,2020-12-09,Sports,38.71,Paypal
980bfbd5-b9a7-45c4-abfd-3daaf0cddf88,Female,60,123.14,24,2024-07-03,Sports,114.69,Paypal
7b820998-5df4-47f5-a324-d9b9f894c978,Male,63,111.18,76,2022-09-02,Clothing,62.43,Credit Card
7ee783de-0979-4ef5-9281-252b09e5913a,Male,53,133.15,29,2023-02-14,Home & Kitchen,47.33,Debit Card
e1f6e8f4-c609-43fb-a97d-c86fe0fce9bd,Female,38,62.49,80,2021-11-05,Beauty,130.25,Paypal
